tick,day,cost_of_goods,opinion_mean,opinion_std,opinion_min,opinion_max,disposition_mean,disposition_max,count_quiet,count_agitated,count_flight,count_protest,count_riot,count_mob,count_employed,count_unhoused,avg_connections,homophily
1120,210,102.69051678346366,0.10121140116654587,0.7188656834409655,-0.9862411765616855,0.9706474645067892,0.11647377027501216,0.411162318579412,1,14,35,0,0,0,44,6,6.84,0.947771237281543
1121,211,102.69051678346366,0.10326460566195964,0.709931946106909,-0.9933946553286973,0.9694476953194042,0.25450196846024264,0.7040907991837452,0,7,33,4,4,2,44,6,6.84,0.9516377230106945
1122,211,102.69051678346366,0.10326460566195964,0.709931946106909,-0.9933946553286973,0.9694476953194042,0.21996131746072337,0.9644707457968344,0,8,37,3,2,0,44,6,6.84,0.9522130222664469
1123,212,102.69051678346366,0.10308075549778557,0.7097588075813159,-0.9933946553286973,0.9694476953194042,0.17124997104664533,0.950828437219668,1,12,34,3,0,0,44,6,6.84,0.9525623560018847
1124,212,102.69051678346366,0.10308075549778557,0.7097588075813159,-0.9933946553286973,0.9694476953194042,0.1611040881333072,0.9309610944878965,1,13,35,1,0,0,44,6,6.84,0.9531751918249242
1125,213,102.69051678346366,0.10249137663432145,0.7193007987411842,-0.9274330515498981,0.9694476953194042,0.16671099727621652,0.899083270543326,0,15,35,0,0,0,44,6,6.84,0.9540121708109928
1126,213,102.69051678346366,0.10070044646659795,0.7009269890086377,-0.9246779354461319,0.9431993237521458,0.24155625749640497,0.9490985891332531,0,8,36,3,3,0,44,6,6.84,0.9538063051091549
1127,214,102.69051678346366,0.10098461289425138,0.7011684572423076,-0.9246779354461319,0.9431993237521458,0.16544786367607414,0.900452314197586,0,10,35,3,2,0,44,6,6.84,0.9540911721881096
1128,214,102.69051678346366,0.10098461289425138,0.7011684572423076,-0.9246779354461319,0.9431993237521458,0.1366202621261846,0.860310200563468,2,13,35,0,0,0,44,6,6.84,0.9550630348304608
1129,215,102.69051678346366,0.09886263488764836,0.7115027892518058,-0.9246779354461319,0.9431993237521458,0.07075931209090784,0.41411326707074503,5,12,33,0,0,0,44,6,6.84,0.9489344986855258
1130,215,102.69051678346366,0.09886263488764836,0.7115027892518058,-0.9246779354461319,0.9431993237521458,0.09334326905166147,0.37176793293124744,2,14,34,0,0,0,44,6,6.84,0.9489344986855258
1131,216,102.69051678346366,0.09883063395649655,0.6965275197016543,-0.9219405780643871,0.9208838714031403,0.15442412082874013,0.5606140878802378,0,15,34,0,1,0,44,6,6.84,0.9529395001032434
1132,216,102.69051678346366,0.09883063395649655,0.6965275197016543,-0.9219405780643871,0.9208838714031403,0.11209523045098527,0.5070666521282473,1,14,35,0,0,0,44,6,6.84,0.9535846510824783
1133,217,102.69051678346366,0.09911045656875944,0.6985522378136407,-0.9381909922751412,0.9485986658186949,0.08049057186102494,0.7651525624782847,3,15,32,0,0,0,44,6,6.84,0.9506517915265306
1134,217,102.69051678346366,0.09911045656875944,0.6985522378136407,-0.9381909922751412,0.9485986658186949,0.04370088344544897,0.7249769907285328,5,16,29,0,0,0,44,6,6.84,0.951344668498021
1135,218,102.69051678346366,0.09626328304304838,0.7134438497582761,-0.9489561036921941,0.9790215294355413,0.08279444036376173,0.6922453100099846,5,14,31,0,0,0,44,6,6.84,0.9467148948512527
1136,218,102.69051678346366,0.09658263018168714,0.6954603645657945,-0.9274340760635997,0.966828679553672,0.08997200614139741,0.45221611857411903,5,14,31,0,0,0,44,6,6.84,0.9476466168008926
1137,219,102.69051678346366,0.09453256229184522,0.7020959862813496,-0.9274340760635997,0.984583922980308,0.10172216823512803,0.4615975758650005,1,14,35,0,0,0,44,6,6.84,0.948900382869162
1138,219,102.69051678346366,0.09453256229184522,0.7020959862813496,-0.9274340760635997,0.984583922980308,0.15674231757133333,0.8068208709927724,0,17,33,0,0,0,44,6,6.84,0.9491506513617307
1139,220,102.69051678346366,0.09673833486645333,0.707853985764559,-0.9274340760635997,0.984583922980308,0.10925632852279156,0.8327631799823809,3,13,34,0,0,0,44,6,6.84,0.9504909610678218
1140,220,102.69051678346366,0.09673833486645333,0.707853985764559,-0.9274340760635997,0.984583922980308,0.1302726716822029,0.8775273395460673,1,17,32,0,0,0,44,6,6.84,0.9510530480675312
1141,221,102.69051678346366,0.09632578822147618,0.698701996213855,-0.9060725301145752,0.9524153521771078,0.1872978802834643,0.5380957128669482,2,7,36,3,2,0,44,6,6.84,0.9528985158927711
1142,221,102.69051678346366,0.09632578822147618,0.698701996213855,-0.9060725301145752,0.9524153521771078,0.1279565074741865,0.7188781591838139,1,12,36,1,0,0,44,6,6.84,0.9528985158927711
