tick,eim_1d
1041,0.2676161246626143
1042,0.1751798409975407
1043,0.07652485328512548
1044,0.004028484546223288
1045,0.0221351431702288
1046,0.2301678630424988
1047,0.15463302846002702
1048,0.011106727597848032
1049,-0.12559606634687948
1050,0.0869058773599305
1051,0.08765472530959739
1052,0.20433867325722632
1053,0.3726880995254813
1054,0.2613621980299572
1055,0.3183315815422447
1056,0.3890355490509798
1057,0.46241863118747273
1058,0.3487606239375167
1059,0.37650232571566455
1060,0.5120465575297892
1061,0.5492509905205567
1062,0.4400614536025027
1063,0.27256814876023916
1064,0.22382351294835057
1065,0.3290336653626835
1066,0.3794910792711852
1067,0.20484582591524392
1068,0.306850477928551
1069,0.33363594644989614
1070,0.14911376100484142
1071,0.09112104420869183
1072,0.2649689931662804
1073,0.2753510105455883
1074,0.38445566384139296
1075,0.24917880326443242
1076,0.30161937255763394
1077,0.2922606742072793
1078,0.1733257869321212
1079,0.02691708587008934
1080,0.05992562539213342
1081,0.09331732738183307
1082,0.04735854023080521
1083,0.15468484711072583
1084,0.057456610829993426
1085,0.044117418423083476
1086,-0.023551864984929338
1087,-0.012168540230985792
1088,0.023681129228612763
1089,0.12600330408980498
1090,0.310187551964072
1091,0.45621652180448646
1092,0.4867160699059472
1093,0.35551933544913705
1094,0.13761498895525004
1095,0.05389404128073827
1096,0.006935896805534192
1097,-0.016113273810226092
1098,-0.008842335160409442
1099,0.17517656840378315
1100,0.30466698058771713
1101,0.36059673629344124
1102,0.3946286524054945
1103,0.44802001731563856
1104,0.5583966453700966
1105,0.587981680811791
1106,0.5619156459565913
1107,0.6343582009839335
1108,0.6411087513955456
1109,0.6708360073849524
1110,0.5256543066196655
1111,0.36660762339807684
1112,0.4335970252215289
1113,0.35614262815674413
1114,0.2366487135903621
1115,0.33223413417980785
1116,0.22786414990722625
1117,0.08848273829449993
1118,0.04861853636961366
1119,0.2574160262775671
1120,0.30612405501690043
1121,0.3870664084129163
1122,0.4751985825596077
1123,0.3983593670614476
1124,0.2771181675330623
1125,0.10934036813352321
1126,0.2403781952629198
1127,0.3117102367008391
1128,0.2717032395781862
1129,0.13507132560707547
1130,0.04603459880366767
1131,0.05732200428275602
1132,0.06364040393801984
1133,0.030131974615520196
1134,0.04129463632622454
1135,0.23935767561634558
1136,0.36523347106396153
1137,0.45168698892069314
1138,0.5356453721543699
1139,0.4211020827249099
1140,0.4046799416277356
1141,0.253539726591663
1142,0.3374308348521966
1143,0.449945137761913
1144,0.43414342038413656
1145,0.3821142725870148
1146,0.47398401746439056
1147,0.4358957468601832
1148,0.5048240294860045
1149,0.44311089509454926
1150,0.3225048145646683
1151,0.24778474241303483
1152,0.3799349976116564
1153,0.37590727986675687
1154,0.3876478511044541
